	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16508666	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	2	1.6839603	186651.8468	Gambel Oak																																																																																																																																									
SAMN16507874	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	11	1.686565	637.7277038	Arizona Ash																																																																																																																																									
SAMN16508665	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	16	1.729622	1977.623544	Gambel Oak																																																																																																																																									
SAMN16508664	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	15	1.7262809	1590.443647	Gambel Oak																																																																																																																																									
SAMN16508663	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	13	1.7173713	2077.935074	Gambel Oak																																																																																																																																									
SAMN16508662	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	12	1.7129165	898.1424443	Gambel Oak																																																																																																																																									
SAMN16508661	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	11	1.7095754	7325.490008	Gambel Oak																																																																																																																																									
SAMN16508660	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	10	1.7051206	6987.416727	Gambel Oak																																																																																																																																									
SAMN16508659	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	1	1.6895288	130483.5066	Gambel Oak																																																																																																																																									
SAMN16508658	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	9	1.6854994	22926.3762	Gambel Oak																																																																																																																																									
SAMN16508657	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	8	1.6804842	9300.207552	Gambel Oak																																																																																																																																									
SAMN16508656	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	7	1.6779766	10479.38757	Gambel Oak																																																																																																																																									
SAMN16507873	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	10	1.68099	2919.315949	Arizona Ash																																																																																																																																									
SAMN16508655	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	5	1.6692	2947.451686	Gambel Oak																																																																																																																																									
SAMN16508654	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	4	1.6666924	977.2642669	Gambel Oak																																																																																																																																									
SAMN16508653	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	3	1.6591696	414.5149605	Gambel Oak																																																																																																																																									
SAMN16508652	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	2	1.6466316	2111.681154	Gambel Oak																																																																																																																																									
SAMN16508651	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	18	1.7281286	393.3998563	Gambel Oak																																																																																																																																									
SAMN16508650	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	17	1.7243672	472.017515	Gambel Oak																																																																																																																																									
SAMN16508649	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H1	18	16	1.7206058	793.9519504	Gambel Oak																																																																																																																																									
SAMN16507952	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	9	1.677645	33315.29864	Arizona Ash																																																																																																																																									
SAMN16507951	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	8	1.673185	111374.7009	Arizona Ash																																																																																																																																									
SAMN16507950	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	7	1.670955	456711.2501	Arizona Ash																																																																																																																																									
SAMN16507949	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	6	1.664265	478354.1793	Arizona Ash																																																																																																																																									
SAMN16507948	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	4	1.65423	38858.30407	Arizona Ash																																																																																																																																									
SAMN16507947	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	3	1.646425	24307.78047	Arizona Ash																																																																																																																																									
SAMN16507946	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	18	1.717785	3373.206457	Arizona Ash																																																																																																																																									
SAMN16507802	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	5	1.682376	3942.472274	Arizona Ash																																																																																																																																									
SAMN16507945	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	17	1.71444	1014.646265	Arizona Ash																																																																																																																																									
SAMN16507944	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	16	1.70998	4627.023059	Arizona Ash																																																																																																																																									
SAMN16507943	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	15	1.706635	5113.239855	Arizona Ash																																																																																																																																									
SAMN16507942	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	14	1.70106	3947.757517	Arizona Ash																																																																																																																																									
SAMN16507941	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	11	1.686565	40989.4999	Arizona Ash																																																																																																																																									
SAMN16507940	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	18	10	1.682105	94553.16134	Arizona Ash																																																																																																																																									
SAMN16507939	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	9	1.679875	2065.322576	Arizona Ash																																																																																																																																									
SAMN16507938	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	7	1.67207	26356.82411	Arizona Ash																																																																																																																																									
SAMN16507937	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	6	1.66538	55583.21077	Arizona Ash																																																																																																																																									
SAMN16507936	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	5	1.66538	69052.92641	Arizona Ash																																																																																																																																									
SAMN16507801	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	4	1.680064	3938.652219	Arizona Ash																																																																																																																																									
SAMN16507935	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	4	1.664265	41058.45112	Arizona Ash																																																																																																																																									
SAMN16507934	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	3	1.662035	53365.15071	Arizona Ash																																																																																																																																									
SAMN16507933	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	2	1.65646	70922.33826	Arizona Ash																																																																																																																																									
SAMN16507932	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	18	1.7189	3454.880574	Arizona Ash																																																																																																																																									
SAMN16507931	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	14	1.70329	850.0354085	Arizona Ash																																																																																																																																									
SAMN16507930	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H2	16	13	1.699945	2268.495973	Arizona Ash																																																																																																																																									
SAMN16508583	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	1	1.6403626	3177.661062	Gambel Oak																																																																																																																																									
SAMN16508582	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	9	1.6854994	3685.917518	Gambel Oak																																																																																																																																									
SAMN16508581	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	8	1.6829918	6587.737808	Gambel Oak																																																																																																																																									
SAMN16508580	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	7	1.6767228	5600.815751	Gambel Oak																																																																																																																																									
SAMN16508579	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	6	1.6729614	11221.06084	Gambel Oak																																																																																																																																									
SAMN16508578	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	4	1.662931	8801.475083	Gambel Oak																																																																																																																																									
SAMN16508577	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	19	1.7306362	1168.922682	Gambel Oak																																																																																																																																									
SAMN16508576	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	18	1.725621	1002.144783	Gambel Oak																																																																																																																																									
SAMN16507865	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	13	1.730928	8269.657936	Arizona Ash																																																																																																																																									
SAMN16508575	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	17	1.7243672	212.3575292	Gambel Oak																																																																																																																																									
SAMN16508574	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	16	1.7180982	1719.698839	Gambel Oak																																																																																																																																									
SAMN16508573	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	15	1.713083	782.609702	Gambel Oak																																																																																																																																									
SAMN16508572	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	14	1.7080678	1416.283676	Gambel Oak																																																																																																																																									
SAMN16508571	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	13	1.7030526	439.309738	Gambel Oak																																																																																																																																									
SAMN16508570	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	12	1.6992912	1683.238943	Gambel Oak																																																																																																																																									
SAMN16508569	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	11	1.694276	2620.503502	Gambel Oak																																																																																																																																									
SAMN16508568	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	16	10	1.6905146	5664.100138	Gambel Oak																																																																																																																																									
SAMN16508567	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	9	1.696211	10696.87545	Gambel Oak																																																																																																																																									
SAMN16508566	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	8	1.6917562	43212.46084	Gambel Oak																																																																																																																																									
SAMN16507864	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	12	1.725148	6106.157746	Arizona Ash																																																																																																																																									
SAMN16508565	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	7	1.6884151	76142.90153	Gambel Oak																																																																																																																																									
SAMN16508564	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	6	1.6839603	50328.14745	Gambel Oak																																																																																																																																									
SAMN16508563	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	5	1.6806192	33604.63754	Gambel Oak																																																																																																																																									
SAMN16508562	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	4	1.6772781	23462.10481	Gambel Oak																																																																																																																																									
SAMN16507807	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	18	10	1.711276	34528.53237	Arizona Ash																																																																																																																																									
SAMN16507995	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	11	1.686565	1607.805062	Arizona Ash																																																																																																																																									
SAMN16507994	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	10	1.682105	1615.469367	Arizona Ash																																																																																																																																									
SAMN16507993	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	1	1.650885	87.45954804	Arizona Ash																																																																																																																																									
SAMN16507992	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	9	1.675415	2430.278582	Arizona Ash																																																																																																																																									
SAMN16507991	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	8	1.67207	7511.554403	Arizona Ash																																																																																																																																									
SAMN16507990	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	7	1.66761	10852.32051	Arizona Ash																																																																																																																																									
SAMN16507989	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	5	1.65869	22825.40729	Arizona Ash																																																																																																																																									
SAMN16507988	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	4	1.65646	70970.59861	Arizona Ash																																																																																																																																									
SAMN16507987	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	3	1.65423	29553.46514	Arizona Ash																																																																																																																																									
SAMN16507986	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	2	1.65423	6192.188988	Arizona Ash																																																																																																																																									
SAMN16507806	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	9	1.696248	2750.70643	Arizona Ash																																																																																																																																									
SAMN16507788	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	11	1.700872	1181.130769	Arizona Ash																																																																																																																																									
SAMN16507985	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	19	1.71667	537.1072644	Arizona Ash																																																																																																																																									
SAMN16507984	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	18	1.71444	500.1634513	Arizona Ash																																																																																																																																									
SAMN16507983	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	14	1.699945	850.0354085	Arizona Ash																																																																																																																																									
SAMN16507982	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	13	1.69437	1930.061843	Arizona Ash																																																																																																																																									
SAMN16507981	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	12	1.68991	1926.375451	Arizona Ash																																																																																																																																									
SAMN16507980	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	10	1.679875	3097.008159	Arizona Ash																																																																																																																																									
SAMN16507979	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	16	1	1.648655	1863.389317	Arizona Ash																																																																																																																																									
SAMN16507978	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H1	18	8	1.706652	25897.39659	Arizona Ash																																																																																																																																									
SAMN16507977	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H1	18	7	1.70434	28024.84696	Arizona Ash																																																																																																																																									
SAMN16507976	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H1	18	6	1.699716	25472.39395	Arizona Ash																																																																																																																																									
SAMN16507805	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	8	1.69278	2350.691302	Arizona Ash																																																																																																																																									
SAMN16507975	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H1	18	5	1.697404	32965.30837	Arizona Ash																																																																																																																																									
SAMN16508430	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	9	1.7050375	398170.1057	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508429	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	8	1.701673	405722.9985	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508428	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	7	1.69943	826783.2893	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508427	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	6	1.697187	1836817.982	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508426	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	3	1.6893365	11712624.65	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507850	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	16	1.730928	314.6980374	Arizona Ash																																																																																																																																									
SAMN16508425	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	2	1.6870935	1054449.769	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508424	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	15	1.7274675	56865.2934	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508423	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	14	1.724103	19066.96789	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508422	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	13	1.719617	130171.6586	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508421	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	12	1.7162525	118638.9248	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508420	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	11	1.7117665	29465.99459	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508419	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	H1	18	10	1.7095235	186956.169	Narrowleaf Cottonwood																																																																																																																																									
