	BioProject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	BioProject.1	rel_to_oxygen	samp_collect_device	samp_size	cultivar	plot	BioSample	Target	Layout	Primer_set	Region	Extraction_method	Fwd_file	Rev_file
SRR7964658	PRJNA494573		2016-08-31	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10173666	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S4_S110_L001_R1_001.fastq	Y16TP13S4_S110_L001_R2_001.fastq
SRR7964659	PRJNA494573		2016-08-31	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10173665	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S3_S109_L001_R1_001.fastq	Y16TP13S3_S109_L001_R2_001.fastq
SRR7964670	PRJNA494573		2016-08-31	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173661	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S17_S102_L001_R1_001.fastq	Y16TP13S17_S102_L001_R2_001.fastq
SRR7964671	PRJNA494573		2016-08-31	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173662	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S18_S103_L001_R1_001.fastq	Y16TP13S18_S103_L001_R2_001.fastq
SRR7964672	PRJNA494573		2016-08-31	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10173659	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S15_S100_L001_R1_001.fastq	Y16TP13S15_S100_L001_R2_001.fastq
SRR7964673	PRJNA494573		2016-08-31	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10173660	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S16_S101_L001_R1_001.fastq	Y16TP13S16_S101_L001_R2_001.fastq
SRR7964674	PRJNA494573		2016-08-31	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173657	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S13_S98_L001_R1_001.fastq	Y16TP13S13_S98_L001_R2_001.fastq
SRR7964675	PRJNA494573		2016-08-31	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173658	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S14_S99_L001_R1_001.fastq	Y16TP13S14_S99_L001_R2_001.fastq
SRR7964557	PRJNA494573		2016-08-03	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10176618	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S15_S288_L001_R1_001.fastq	Y16TP09S15_S288_L001_R2_001.fastq
SRR7964558	PRJNA494573		2016-08-03	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10176619	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S16_S156_L001_R1_001.fastq	Y16TP09S16_S156_L001_R2_001.fastq
SRR7964559	PRJNA494573		2016-05-20	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10176623	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S21_S24_L001_R1_001.fastq	Y16TP00S21_S24_L001_R2_001.fastq
SRR7964560	PRJNA494573		2016-05-20	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10176624	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S22_S25_L001_R1_001.fastq	Y16TP00S22_S25_L001_R2_001.fastq
SRR7964561	PRJNA494573		2016-05-20	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10176617	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S15_S17_L001_R1_001.fastq	Y16TP00S15_S17_L001_R2_001.fastq
SRR7964562	PRJNA494573		2016-05-20	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10176620	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S16_S18_L001_R1_001.fastq	Y16TP00S16_S18_L001_R2_001.fastq
SRR7964563	PRJNA494573		2016-05-20	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10176615	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S13_S15_L001_R1_001.fastq	Y16TP00S13_S15_L001_R2_001.fastq
SRR7964564	PRJNA494573		2016-05-20	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10176616	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S14_S16_L001_R1_001.fastq	Y16TP00S14_S16_L001_R2_001.fastq
SRR7964565	PRJNA494573		2016-05-20	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10176613	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S5_S28_L001_R1_001.fastq	Y16TP00S5_S28_L001_R2_001.fastq
SRR7964566	PRJNA494573		2016-05-20	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10176614	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S6_S29_L001_R1_001.fastq	Y16TP00S6_S29_L001_R2_001.fastq
SRR7964567	PRJNA494573		2016-05-20	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10176611	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S3_S26_L001_R1_001.fastq	Y16TP00S3_S26_L001_R2_001.fastq
SRR7964568	PRJNA494573		2016-05-20	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10176612	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S4_S27_L001_R1_001.fastq	Y16TP00S4_S27_L001_R2_001.fastq
SRR7964569	PRJNA494573		2016-05-20	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10176621	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S17_S19_L001_R1_001.fastq	Y16TP00S17_S19_L001_R2_001.fastq
SRR7964570	PRJNA494573		2016-05-20	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10176622	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP00S18_S20_L001_R1_001.fastq	Y16TP00S18_S20_L001_R2_001.fastq
SRR7964469	PRJNA494573		2016-09-21	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173963	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S5_S125_L001_R1_001.fastq	Y16TP16S5_S125_L001_R2_001.fastq
SRR7964470	PRJNA494573		2016-09-21	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173964	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S6_S126_L001_R1_001.fastq	Y16TP16S6_S126_L001_R2_001.fastq
SRR7964489	PRJNA494573		2016-09-28	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10174016	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S4_S96_L001_R1_001.fastq	Y16TP17S4_S96_L001_R2_001.fastq
SRR7964490	PRJNA494573		2016-09-28	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10174015	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S3_S71_L001_R1_001.fastq	Y16TP17S3_S71_L001_R2_001.fastq
SRR7964491	PRJNA494573		2016-09-28	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10174014	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S22_S167_L001_R1_001.fastq	Y16TP17S22_S167_L001_R2_001.fastq
SRR7964492	PRJNA494573		2016-09-28	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10174013	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S21_S11_L001_R1_001.fastq	Y16TP17S21_S11_L001_R2_001.fastq
SRR7964495	PRJNA494573		2016-09-28	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10174018	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S6_S72_L001_R1_001.fastq	Y16TP17S6_S72_L001_R2_001.fastq
SRR7964496	PRJNA494573		2016-09-28	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10174017	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S5_S216_L001_R1_001.fastq	Y16TP17S5_S216_L001_R2_001.fastq
SRR7964529	PRJNA494573		2016-09-28	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10174011	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S17_S57_L001_R1_001.fastq	Y16TP17S17_S57_L001_R2_001.fastq
SRR7964530	PRJNA494573		2016-09-28	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10174012	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S18_S10_L001_R1_001.fastq	Y16TP17S18_S10_L001_R2_001.fastq
SRR7964531	PRJNA494573		2016-09-28	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10174007	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S13_S70_L001_R1_001.fastq	Y16TP17S13_S70_L001_R2_001.fastq
SRR7964532	PRJNA494573		2016-09-28	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10174008	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S14_S95_L001_R1_001.fastq	Y16TP17S14_S95_L001_R2_001.fastq
SRR7964533	PRJNA494573		2016-09-28	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10174009	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S15_S9_L001_R1_001.fastq	Y16TP17S15_S9_L001_R2_001.fastq
SRR7964534	PRJNA494573		2016-09-28	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10174010	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP17S16t_S239_L001_R1_001.fastq	Y16TP17S16t_S239_L001_R2_001.fastq
SRR7964547	PRJNA494573		2016-09-21	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173954	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S14_S120_L001_R1_001.fastq	Y16TP16S14_S120_L001_R2_001.fastq
SRR7964548	PRJNA494573		2016-09-21	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173953	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S13_S119_L001_R1_001.fastq	Y16TP16S13_S119_L001_R2_001.fastq
SRR7964549	PRJNA494573		2016-09-21	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10173956	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S16_S162_L001_R1_001.fastq	Y16TP16S16_S162_L001_R2_001.fastq
SRR7964550	PRJNA494573		2016-09-21	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10173955	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S15_S161_L001_R1_001.fastq	Y16TP16S15_S161_L001_R2_001.fastq
SRR7964551	PRJNA494573		2016-09-21	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173958	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S18_S164_L001_R1_001.fastq	Y16TP16S18_S164_L001_R2_001.fastq
SRR7964552	PRJNA494573		2016-09-21	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173957	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S17a_S121_L001_R1_001.fastq	Y16TP16S17a_S121_L001_R2_001.fastq
SRR7964553	PRJNA494573		2016-09-21	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10173960	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S22_S168_L001_R1_001.fastq	Y16TP16S22_S168_L001_R2_001.fastq
SRR7964554	PRJNA494573		2016-09-21	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10173959	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S21_S167_L001_R1_001.fastq	Y16TP16S21_S167_L001_R2_001.fastq
SRR7964555	PRJNA494573		2016-09-21	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10173962	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S4_S124_L001_R1_001.fastq	Y16TP16S4_S124_L001_R2_001.fastq
SRR7964556	PRJNA494573		2016-09-21	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10173961	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP16S3_S123_L001_R1_001.fastq	Y16TP16S3_S123_L001_R2_001.fastq
SRR7964323	PRJNA494573		2016-07-06	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173124	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S6_S228_L001_R1_001.fastq	Y16TP05S6_S228_L001_R2_001.fastq
SRR7964324	PRJNA494573		2016-07-06	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173123	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S5_S227_L001_R1_001.fastq	Y16TP05S5_S227_L001_R2_001.fastq
SRR7964325	PRJNA494573		2016-07-06	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173120	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S14a_S202_L001_R1_001.fastq	Y16TP05S14a_S202_L001_R2_001.fastq
SRR7964326	PRJNA494573		2016-07-06	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173119	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S13_S220_L001_R1_001.fastq	Y16TP05S13_S220_L001_R2_001.fastq
SRR7964327	PRJNA494573		2016-07-06	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173122	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S18_S223_L001_R1_001.fastq	Y16TP05S18_S223_L001_R2_001.fastq
SRR7964328	PRJNA494573		2016-07-06	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173121	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP05S17_S222_L001_R1_001.fastq	Y16TP05S17_S222_L001_R2_001.fastq
SRR7964333	PRJNA494573		2016-07-13	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173153	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S5_S239_L001_R1_001.fastq	Y16TP06S5_S239_L001_R2_001.fastq
SRR7964334	PRJNA494573		2016-07-13	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173154	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S6_S240_L001_R1_001.fastq	Y16TP06S6_S240_L001_R2_001.fastq
SRR7964335	PRJNA494573		2016-07-13	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173151	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S17_S234_L001_R1_001.fastq	Y16TP06S17_S234_L001_R2_001.fastq
SRR7964336	PRJNA494573		2016-07-13	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173152	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S18_S235_L001_R1_001.fastq	Y16TP06S18_S235_L001_R2_001.fastq
SRR7964337	PRJNA494573		2016-07-13	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173149	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S13_S232_L001_R1_001.fastq	Y16TP06S13_S232_L001_R2_001.fastq
SRR7964338	PRJNA494573		2016-07-13	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173150	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP06S14_S233_L001_R1_001.fastq	Y16TP06S14_S233_L001_R2_001.fastq
SRR7964413	PRJNA494573		2016-06-29	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173093	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP04S5_S201_L001_R1_001.fastq	Y16TP04S5_S201_L001_R2_001.fastq
SRR7964414	PRJNA494573		2016-06-29	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173094	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP04S6_S202_L001_R1_001.fastq	Y16TP04S6_S202_L001_R2_001.fastq
SRR7964419	PRJNA494573		2016-06-29	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173091	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP04S17_S196_L001_R1_001.fastq	Y16TP04S17_S196_L001_R2_001.fastq
SRR7964420	PRJNA494573		2016-06-29	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173092	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP04S18_S197_L001_R1_001.fastq	Y16TP04S18_S197_L001_R2_001.fastq
